Loading weights:   0%|          | 0/148 [00:00<?, ?it/s]Loading weights: 100%|██████████| 148/148 [00:00<00:00, 3659.33it/s]
{"event": "public_fallback_progress", "position": 0, "positions": 32}
{"event": "public_fallback_progress", "position": 1, "positions": 32}
{"event": "public_fallback_progress", "position": 2, "positions": 32}
{"event": "public_fallback_progress", "position": 3, "positions": 32}
{"event": "public_fallback_progress", "position": 4, "positions": 32}
{"event": "public_fallback_progress", "position": 5, "positions": 32}
{"event": "public_fallback_progress", "position": 6, "positions": 32}
{"event": "public_fallback_progress", "position": 7, "positions": 32}
{"event": "public_fallback_progress", "position": 8, "positions": 32}
{"event": "public_fallback_progress", "position": 9, "positions": 32}
{"event": "public_fallback_progress", "position": 10, "positions": 32}
{"event": "public_fallback_progress", "position": 11, "positions": 32}
{"event": "public_fallback_progress", "position": 12, "positions": 32}
{"event": "public_fallback_progress", "position": 13, "positions": 32}
{"event": "public_fallback_progress", "position": 14, "positions": 32}
{"event": "public_fallback_progress", "position": 15, "positions": 32}
{"event": "public_fallback_progress", "position": 16, "positions": 32}
{"event": "public_fallback_progress", "position": 17, "positions": 32}
{"event": "public_fallback_progress", "position": 18, "positions": 32}
{"event": "public_fallback_progress", "position": 19, "positions": 32}
{"event": "public_fallback_progress", "position": 20, "positions": 32}
{"event": "public_fallback_progress", "position": 21, "positions": 32}
{"event": "public_fallback_progress", "position": 22, "positions": 32}
{"event": "public_fallback_progress", "position": 23, "positions": 32}
{"event": "public_fallback_progress", "position": 24, "positions": 32}
{"event": "public_fallback_progress", "position": 25, "positions": 32}
{"event": "public_fallback_progress", "position": 26, "positions": 32}
{"event": "public_fallback_progress", "position": 27, "positions": 32}
{"event": "public_fallback_progress", "position": 28, "positions": 32}
{"event": "public_fallback_progress", "position": 29, "positions": 32}
{"event": "public_fallback_progress", "position": 30, "positions": 32}
{"event": "public_fallback_progress", "position": 31, "positions": 32}
{"codebook_entries": 25617, "completed": 1344, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 26597, "completed": 1408, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 27562, "completed": 1472, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 28571, "completed": 1536, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 29502, "completed": 1600, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 30462, "completed": 1664, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 31395, "completed": 1728, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 32313, "completed": 1792, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 33190, "completed": 1856, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 34068, "completed": 1920, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 34950, "completed": 1984, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 35822, "completed": 2048, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 36726, "completed": 2112, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 37607, "completed": 2176, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 38431, "completed": 2240, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 39344, "completed": 2304, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 40195, "completed": 2368, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 41067, "completed": 2432, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 41872, "completed": 2496, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 42704, "completed": 2560, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 43529, "completed": 2624, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 44344, "completed": 2688, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 45102, "completed": 2752, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 45922, "completed": 2816, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 46750, "completed": 2880, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 47544, "completed": 2944, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 48329, "completed": 3008, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 49107, "completed": 3072, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 49852, "completed": 3136, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 50612, "completed": 3200, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 51344, "completed": 3264, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 52122, "completed": 3328, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 52910, "completed": 3392, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 53683, "completed": 3456, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 54394, "completed": 3520, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 55130, "completed": 3584, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 55875, "completed": 3648, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 56600, "completed": 3712, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 57304, "completed": 3776, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 58008, "completed": 3840, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 58721, "completed": 3904, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 59417, "completed": 3968, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 60129, "completed": 4032, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 60834, "completed": 4096, "event": "known_prompt_progress", "total": 4096}
{"event": "budget_complete", "fallback_token_top1": 0.900390625, "hybrid_full_prompt_exact": 0.796875, "hybrid_token_top1": 0.992919921875, "known_prompt_queries": 4096, "token_coverage": 0.652587890625}
{"event": "complete", "output": "/home/user/research-vault/projects/P050/ndss-2027/results/stip_chosen_codebook_hybrid_private_seed20260803_4096q_128x32.json"}
